method,params,val_accuracy,test_accuracy
NeuralNet,"{'n_hidden': 250, 'n_layers': 2, 'learning_rate': 0.3592084025571018, 'dropout_prob': 0.706720309206891, 'n_epochs': 63, 'batch_size': 162, 'weight_positives': False}",0.6502444528018051,0.6752690840286608
NeuralNet,"{'n_hidden': 388, 'n_layers': 2, 'learning_rate': 0.0010493314645539326, 'dropout_prob': 0.3777641034224495, 'n_epochs': 21, 'batch_size': 75, 'weight_positives': True}",0.6981514160904908,0.6293929712460062
NeuralNet,"{'n_hidden': 388, 'n_layers': 2, 'learning_rate': 0.0010493314645539326, 'dropout_prob': 0.3777641034224495, 'n_epochs': 21, 'batch_size': 75, 'weight_positives': True}",0.7022883096595017,0.6998356028412791
NeuralNet,"{'n_hidden': 388, 'n_layers': 2, 'learning_rate': 0.0010493314645539326, 'dropout_prob': 0.3777641034224495, 'n_epochs': 21, 'batch_size': 75, 'weight_positives': True}",0.6999161049555935,0.6501132169111945
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 50, 'weight_positives': True}",0.6564063991668353,0.5572753497316915
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 50, 'weight_positives': True}",0.6830792374229756,0.6642885945593845
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 50, 'weight_positives': True}",0.7066277085081146,0.7068147275039548
NeuralNet,"{'n_hidden': 53, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.6381114760077107, 'n_epochs': 30, 'batch_size': 195, 'weight_positives': True}",0.5378540226227327,0.4724712304972239
NeuralNet,"{'n_hidden': 53, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.6381114760077107, 'n_epochs': 30, 'batch_size': 195, 'weight_positives': True}",0.6743715104000925,0.5613697695337944
NeuralNet,"{'n_hidden': 53, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.6381114760077107, 'n_epochs': 30, 'batch_size': 195, 'weight_positives': True}",0.613706714496485,0.5636651260895189
NeuralNet,"{'n_hidden': 400, 'n_layers': 2, 'learning_rate': 0.0008764306552648183, 'dropout_prob': 0.7742546795463054, 'n_epochs': 95, 'batch_size': 200, 'weight_positives': True}",0.573928891717534,0.5227829647321566
NeuralNet,"{'n_hidden': 400, 'n_layers': 2, 'learning_rate': 0.0008764306552648183, 'dropout_prob': 0.7742546795463054, 'n_epochs': 95, 'batch_size': 200, 'weight_positives': True}",0.5830126999739635,0.4909891746021898
NeuralNet,"{'n_hidden': 400, 'n_layers': 2, 'learning_rate': 0.0008764306552648183, 'dropout_prob': 0.7742546795463054, 'n_epochs': 95, 'batch_size': 200, 'weight_positives': True}",0.6639280238377643,0.561245696206458
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0001636981265435216, 'dropout_prob': 0.4581018646738439, 'n_epochs': 88, 'batch_size': 173, 'weight_positives': False}",0.7195591170769808,0.695430999720835
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0001636981265435216, 'dropout_prob': 0.4581018646738439, 'n_epochs': 88, 'batch_size': 173, 'weight_positives': False}",0.7048919489686695,0.6789292471850863
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0001636981265435216, 'dropout_prob': 0.4581018646738439, 'n_epochs': 88, 'batch_size': 173, 'weight_positives': False}",0.6887783145774871,0.6789292471850864
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0014410725589350034, 'dropout_prob': 0.5188281604945818, 'n_epochs': 45, 'batch_size': 192, 'weight_positives': False}",0.6969363844128793,0.6603182480846179
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0014410725589350034, 'dropout_prob': 0.5188281604945818, 'n_epochs': 45, 'batch_size': 192, 'weight_positives': False}",0.732056585760986,0.7010763361146436
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0014410725589350034, 'dropout_prob': 0.5188281604945818, 'n_epochs': 45, 'batch_size': 192, 'weight_positives': False}",0.7416611218792489,0.6752690840286609
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0007793140713582869, 'dropout_prob': 0.3461772881864005, 'n_epochs': 99, 'batch_size': 163, 'weight_positives': False}",0.704168715827234,0.6931046248332764
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0007793140713582869, 'dropout_prob': 0.3461772881864005, 'n_epochs': 99, 'batch_size': 163, 'weight_positives': False}",0.7027222495443631,0.6546729116908092
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0007793140713582869, 'dropout_prob': 0.3461772881864005, 'n_epochs': 99, 'batch_size': 163, 'weight_positives': False}",0.705615182110105,0.6923291665374236
NeuralNet,"{'n_hidden': 50, 'n_layers': 2, 'learning_rate': 0.000557169767516111, 'dropout_prob': 0.4837246593921374, 'n_epochs': 36, 'batch_size': 184, 'weight_positives': False}",0.7517863858593457,0.6892273333540122
